id,description,descriptionRaw,currencyCode,amount,amountInAccountCurrency,date,category,categoryId,balance,accountId,providerCode,status,paymentData,type,creditCardMetadata,acquirerData,merchant,createdAt,updatedAt
00000000-0000-0000-0000-000000000000,Amazon Marketplace 8/10,Amazon Marketplace 8/10,BRL,62.1,,2023-06-04T03:00:00.000Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 10, 'installmentNumber': 8, 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': 'AMAZON.COM.BR', 'category': 'Education', 'businessName': 'AMAZON SERVICOS DE VAREJO DO BRASIL LTDA.'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Amazon Marketplace 3/10,Amazon Marketplace 3/10,BRL,62.1,,2023-06-04T03:00:00.000Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 10, 'installmentNumber': 3, 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': 'AMAZON.COM.BR', 'category': 'Education', 'businessName': 'AMAZON SERVICOS DE VAREJO DO BRASIL LTDA.'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Amazon Marketplace 10/10,Amazon Marketplace 10/10,BRL,62.1,,2023-06-04T03:00:00.000Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 10, 'installmentNumber': 10, 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': 'AMAZON.COM.BR', 'category': 'Education', 'businessName': 'AMAZON SERVICOS DE VAREJO DO BRASIL LTDA.'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Amazon Marketplace 9/10,Amazon Marketplace 9/10,BRL,62.1,,2023-06-04T03:00:00.000Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 10, 'installmentNumber': 9, 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': 'AMAZON.COM.BR', 'category': 'Education', 'businessName': 'AMAZON SERVICOS DE VAREJO DO BRASIL LTDA.'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Amazon Marketplace 6/10,Amazon Marketplace 6/10,BRL,62.1,,2023-06-04T03:00:00.000Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 10, 'installmentNumber': 6, 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': 'AMAZON.COM.BR', 'category': 'Education', 'businessName': 'AMAZON SERVICOS DE VAREJO DO BRASIL LTDA.'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Mercadolivre*Mercadol 7/10,Mercadolivre*Mercadol 7/10,BRL,49.4,,2023-06-04T03:00:00.000Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 10, 'installmentNumber': 7, 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': '', 'category': 'Services', 'businessName': 'MERCADOLIVRE.COM ATIVIDADES DE INTERNET LTDA'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Mercadolivre*Mercadol 8/10,Mercadolivre*Mercadol 8/10,BRL,49.4,,2023-06-04T03:00:00.000Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 10, 'installmentNumber': 8, 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': '', 'category': 'Services', 'businessName': 'MERCADOLIVRE.COM ATIVIDADES DE INTERNET LTDA'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Mercadolivre*Mercadol 3/10,Mercadolivre*Mercadol 3/10,BRL,49.4,,2023-06-04T03:00:00.000Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 10, 'installmentNumber': 3, 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': '', 'category': 'Services', 'businessName': 'MERCADOLIVRE.COM ATIVIDADES DE INTERNET LTDA'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Mercadolivre*Mercadol 10/10,Mercadolivre*Mercadol 10/10,BRL,49.4,,2023-06-04T03:00:00.000Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 10, 'installmentNumber': 10, 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': '', 'category': 'Services', 'businessName': 'MERCADOLIVRE.COM ATIVIDADES DE INTERNET LTDA'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Mercadolivre*Mercadol 4/10,Mercadolivre*Mercadol 4/10,BRL,49.4,,2023-06-04T03:00:00.000Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 10, 'installmentNumber': 4, 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': '', 'category': 'Services', 'businessName': 'MERCADOLIVRE.COM ATIVIDADES DE INTERNET LTDA'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Mercadolivre*Mercadol 5/10,Mercadolivre*Mercadol 5/10,BRL,49.4,,2023-06-04T03:00:00.000Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 10, 'installmentNumber': 5, 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': '', 'category': 'Services', 'businessName': 'MERCADOLIVRE.COM ATIVIDADES DE INTERNET LTDA'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Mercadolivre*Mercadol 6/10,Mercadolivre*Mercadol 6/10,BRL,49.4,,2023-06-04T03:00:00.000Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 10, 'installmentNumber': 6, 'payeeMCC': 0, 'billId': 'a211214e-a1d0-4df2-a08f-8014af0c0396'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': '', 'category': 'Services', 'businessName': 'MERCADOLIVRE.COM ATIVIDADES DE INTERNET LTDA'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
